Train on 60000 samples, validate on 10000 samples
49792/60000 [=======================>......] - ETA: 4s - loss: 0.2330
49920/60000 [=======================>......] - ETA: 4s - loss: 0.2328
50048/60000 [========================>.....] - ETA: 4s - loss: 0.2327
50176/60000 [========================>.....] - ETA: 4s - loss: 0.2325
50304/60000 [========================>.....] - ETA: 4s - loss: 0.2324
50432/60000 [========================>.....] - ETA: 4s - loss: 0.2322
50560/60000 [========================>.....] - ETA: 4s - loss: 0.2321
50688/60000 [========================>.....] - ETA: 4s - loss: 0.2320
50816/60000 [========================>.....] - ETA: 4s - loss: 0.2319
50944/60000 [========================>.....] - ETA: 3s - loss: 0.2317
51072/60000 [========================>.....] - ETA: 3s - loss: 0.2316
51200/60000 [========================>.....] - ETA: 3s - loss: 0.2314
51328/60000 [========================>.....] - ETA: 3s - loss: 0.2313
51456/60000 [========================>.....] - ETA: 3s - loss: 0.2311
51584/60000 [========================>.....] - ETA: 3s - loss: 0.2310
51712/60000 [========================>.....] - ETA: 3s - loss: 0.2308
51840/60000 [========================>.....] - ETA: 3s - loss: 0.2307
51968/60000 [========================>.....] - ETA: 3s - loss: 0.2306
52096/60000 [=========================>....] - ETA: 3s - loss: 0.2305
52224/60000 [=========================>....] - ETA: 3s - loss: 0.2304
52352/60000 [=========================>....] - ETA: 3s - loss: 0.2302
52480/60000 [=========================>....] - ETA: 3s - loss: 0.2301
52608/60000 [=========================>....] - ETA: 3s - loss: 0.2300
52736/60000 [=========================>....] - ETA: 3s - loss: 0.2298
52864/60000 [=========================>....] - ETA: 3s - loss: 0.2297
52992/60000 [=========================>....] - ETA: 3s - loss: 0.2295
53120/60000 [=========================>....] - ETA: 3s - loss: 0.2294
53248/60000 [=========================>....] - ETA: 2s - loss: 0.2292
53376/60000 [=========================>....] - ETA: 2s - loss: 0.2291
53504/60000 [=========================>....] - ETA: 2s - loss: 0.2289
53632/60000 [=========================>....] - ETA: 2s - loss: 0.2288
53760/60000 [=========================>....] - ETA: 2s - loss: 0.2287
53888/60000 [=========================>....] - ETA: 2s - loss: 0.2286
54016/60000 [==========================>...] - ETA: 2s - loss: 0.2285
54144/60000 [==========================>...] - ETA: 2s - loss: 0.2283
54272/60000 [==========================>...] - ETA: 2s - loss: 0.2282
54400/60000 [==========================>...] - ETA: 2s - loss: 0.2280
54528/60000 [==========================>...] - ETA: 2s - loss: 0.2279
54656/60000 [==========================>...] - ETA: 2s - loss: 0.2278
54784/60000 [==========================>...] - ETA: 2s - loss: 0.2276
54912/60000 [==========================>...] - ETA: 2s - loss: 0.2275
